slices,colour,cluster,r,value
T3M_7_1_slice9.pkl,val_green,0,27,47.57
T3M_7_1_slice9.pkl,val_green,0,28,53.35
T3M_7_1_slice9.pkl,val_green,0,29,55.43
T3M_7_1_slice9.pkl,val_green,0,30,59.09
T3M_7_1_slice9.pkl,val_green,0,31,61.9
T3M_7_1_slice9.pkl,val_green,0,32,64.65
T3M_7_1_slice9.pkl,val_green,0,33,63.2
T3M_7_1_slice9.pkl,val_green,0,34,61.43
T3M_7_1_slice9.pkl,val_green,0,35,62.23
T3M_7_1_slice9.pkl,val_green,0,36,61.47
T3M_7_1_slice9.pkl,val_green,0,37,60.93
T3M_7_1_slice9.pkl,val_green,0,38,57.21
T3M_7_1_slice9.pkl,val_green,0,39,54.66
T3M_7_1_slice9.pkl,val_green,0,40,50.66
T3M_7_1_slice9.pkl,val_green,0,41,45.34
T3M_7_1_slice9.pkl,val_green,0,42,41.16
T3M_7_1_slice9.pkl,val_green,0,43,36.65
T3M_7_1_slice9.pkl,val_green,0,44,31.13
T3M_7_1_slice9.pkl,val_green,0,45,25.92
T3M_7_1_slice9.pkl,val_green,0,46,20.58
T3M_7_1_slice9.pkl,val_green,0,47,16.9
T3M_7_1_slice9.pkl,val_green,0,48,13.86
T3M_7_1_slice9.pkl,val_green,0,49,12.1
T3M_7_1_slice9.pkl,val_green,0,50,8.51
T3M_7_1_slice9.pkl,val_green,0,51,7.37
T3M_7_1_slice9.pkl,val_green,0,52,5.89
T3M_7_1_slice9.pkl,val_green,0,53,4.36
T3M_7_1_slice9.pkl,val_green,0,54,4
T3M_7_1_slice9.pkl,val_green,0,55,4.16
T3M_7_1_slice9.pkl,val_green,0,56,3.7
T3M_7_1_slice9.pkl,val_green,0,57,2.99
T3M_7_1_slice9.pkl,val_green,0,58,3.17
T3M_7_1_slice9.pkl,val_green,0,59,2.79
T3M_7_1_slice9.pkl,val_green,0,60,2.7
T3M_7_1_slice9.pkl,val_green,0,61,2.6
T3M_7_1_slice9.pkl,val_green,0,62,2.84
T3M_7_1_slice9.pkl,val_green,0,63,2.66
T3M_7_1_slice9.pkl,val_green,0,64,2.92
T3M_7_1_slice9.pkl,val_green,0,65,2.76
T3M_7_1_slice9.pkl,val_green,0,66,2.53
T3M_7_1_slice9.pkl,val_green,0,67,2.31
T3M_7_1_slice9.pkl,val_green,0,68,2.5
T3M_7_1_slice9.pkl,val_green,0,69,2.31
T3M_7_1_slice9.pkl,val_green,0,70,2.22
T3M_7_1_slice9.pkl,val_green,0,71,2.36
T3M_7_1_slice9.pkl,val_green,0,72,2.18
T3M_7_1_slice9.pkl,val_green,0,73,2.44
T3M_7_1_slice9.pkl,val_green,0,74,1.9
T3M_7_1_slice9.pkl,val_green,0,75,2.17
T3M_7_1_slice9.pkl,val_green,0,76,2.07
T3M_7_1_slice9.pkl,val_green,0,77,1.87
T3M_7_1_slice9.pkl,val_green,0,78,1.82
T3M_7_1_slice9.pkl,val_green,0,79,1.57
T3M_7_1_slice9.pkl,val_green,0,80,1.98
T3M_7_1_slice9.pkl,val_green,0,81,1.89
